SOURCETABLE 200 OK
Server: NTRIP BKG Caster 2.0.36/2.0
Date: Tue, 29 Jun 2021 19:54:14 GMT
Connection: close
Content-Type: text/plain
Content-Length: 144611

STR;ACSX_RTCM3;ACSX_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;33.27;-117.44;0;0;SEPT POLARX5;None;B;N;0;;
STR;AGNS_RTCM3;AGNS_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;;42.55;-124.06;0;0;SEPT POLARX5;None;B;N;0;;
STR;ALAM_RTCM3;ALAM_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;37.21;-115.09;0;0;TRIMBLE NETR9;None;B;N;0;;
STR;ANA1_RTCM3;ANA1_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;34.02;-119.36;0;0;SEPT POLARX5;None;B;N;0;;
STR;ANTC_RTCM3;ANTC_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;CHL;-37.34;-71.53;0;0;TRIMBLE NETR9;None;B;N;0;;
STR;AOPR_RTCM3;AOPR_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS;UNAVCO;PRI;18.35;-66.75;0;0;TRIMBLE NETRS;None;B;N;0;;
STR;AR53_RTCM3;AR53_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;33.38;-117.48;0;0;TRIMBLE NETR9;None;B;N;0;;
STR;ATW2_RTCM3;ATW2_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;61.60;-149.13;0;0;SEPT POLARX5;None;B;N;0;;
STR;AV01_RTCM3;AV01_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS;UNAVCO;USA;59.36;-153.46;0;0;TRIMBLE NETRS;None;B;N;0;;
STR;AV02_RTCM3;AV02_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;59.33;-153.43;0;0;SEPT POLARX5;None;B;N;0;;
STR;AV09_RTCM3;AV09_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;53.88;-166.54;0;0;SEPT POLARX5;None;B;N;0;;
STR;AV11_RTCM3;AV11_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS;UNAVCO;USA;59.37;-153.35;0;0;TRIMBLE NETRS;None;B;N;0;;
STR;AV19_RTCM3;AV19_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;59.35;-153.41;0;0;SEPT POLARX5;None;B;N;0;;
STR;AVRY_RTCM3;AVRY_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS;UNAVCO;USA;34.47;-117.15;0;0;TRIMBLE NETRS;None;B;N;0;;
STR;AZRY_RTCM3;AZRY_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;33.54;-116.63;0;0;TRIMBLE NETR9;None;B;N;0;;
STR;AZU1_RTCM3;AZU1_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;34.13;-117.90;0;0;SEPT POLARX5;None;B;N;0;;
STR;BAR1_RTCM3;BAR1_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS;UNAVCO;USA;33.48;-119.03;0;0;TRIMBLE NETRS;None;B;N;0;;
STR;BARA_RTCM3;BARA_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;;18.21;-71.10;0;0;TRIMBLE NETR9;None;B;N;0;;
STR;BBDM_RTCM3;BBDM_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS;UNAVCO;USA;34.58;-119.98;0;0;TRIMBLE NETRS;None;B;N;0;;
STR;BBRY_RTCM3;BBRY_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS;UNAVCO;USA;34.26;-116.88;0;0;TRIMBLE NETRS;None;B;N;0;;
STR;BCWR_RTCM3;BCWR_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;34.92;-119.41;0;0;TRIMBLE NETR9;None;B;N;0;;
STR;BEMT_RTCM3;BEMT_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;34.00;-116.00;0;0;SEPT POLARX5;None;B;N;0;;
STR;BEPK_RTCM3;BEPK_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS;UNAVCO;USA;35.88;-118.07;0;0;TRIMBLE NETRS;None;B;N;0;;
STR;BGIS_RTCM3;BGIS_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;33.97;-118.16;0;0;TOPCON NET-G3A;None;B;N;0;;
STR;BILL_RTCM3;BILL_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;33.58;-117.06;0;0;SEPT POLARX5;None;B;N;0;;
STR;BKAP_RTCM3;BKAP_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS;UNAVCO;USA;35.29;-116.08;0;0;TRIMBLE NETRS;None;B;N;0;;
STR;BKMS_RTCM3;BKMS_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS;UNAVCO;USA;33.96;-118.09;0;0;TRIMBLE NETRS;None;B;N;0;;
STR;BLW2_RTCM3;BLW2_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;42.77;-109.56;0;0;TRIMBLE NETR9;None;B;N;0;;
STR;BLYT_RTCM3;BLYT_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS;UNAVCO;USA;33.61;-114.71;0;0;TRIMBLE NETRS;None;B;N;0;;
STR;BMHL_RTCM3;BMHL_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS;UNAVCO;USA;34.25;-116.05;0;0;TRIMBLE NETRS;None;B;N;0;;
STR;BOMG_RTCM3;BOMG_RTCM3;RTCM 3.1;1004(1),1005(60),1007(60),1012(1),1033(60);2;GPS+GLO;UNAVCO;USA;33.36;-115.73;0;0;TRIMBLE NETR9;None;B;N;0;;
